Type-Code,JCODE as Number,J-Code,GCODE as Number,G-Code,Name,Definition
pl_fc_b&c_ffmd_,224,J224,,,plastic food containers made of foamed polystyrene ,"Foamed polystyrene containers used for carrying or storing food, such as fast food containers, lunchboxes, etc."
pl_fi_flb_,62,J62,62,G62,plastic floats for fishing nets,"An item attached to the top of some types of fishing nets, like seine and trammel that keeps them hanging vertically in the water. Floats come in different sizes and shapes."
pl_fc_b&c_pfoc_,225,J225,,,plastic food containers made of hard non-foamed plastic ,"Plastic containers used for carrying or storing food, such as fast-food containers, Tupperware, lunchboxes, etc. Made of non-foamed plastic."
pl_fc_tab_,,,,,plastic tableware/cups/cutlery/plates/trays/straws/stirrers,Plastic tableware cups/cutlery/plates/trays/straws/stirrers.
pl_nn_flb_,63,J63,63,G63,plastic floats/buoys other source than fishing or not known,"Plastic floats/buoys other source than fishing or not known. floating devices that serve as navigation marks, marking reefs or other hazards, mooring locations. They can be anchored (stationary) or allowed to drift with ocean currents."
pl_fc_tab_cups_fcup_,226,J226,,,cups and cup lids of foamed polystyrene,"Single-use cups and their lids for coffee and other drinks; made of foamed polystyrene. They have a wide range of uses in restaurants, bakeries, or catering settings."
pl_fc_tab_cups_hpcp_,227,J227,,,cups and lids of hard plastic,"Single-use cups and their lids for coffee and other drinks; made of non-foamed artificial polymer materials. They have a wide range of uses in restaurants, bakeries, or catering settings."
pl_nn_fen_,64,J64,64,G64,plastic fenders,Plastic cushions (such as foam rubber) placed between a boat and a dock or between two boats to lessen shock and prevent chafing.
pl_fc_tab_cupt_cutl_,228,J228,,,plastic cutlery,"Single-use knives, forks, and spoons."
pl_fc_tab_cupt_plat_,229,J229,,,plastic plates and trays,Single-use plates and trays made of artificial polymer material.
pl_nn_buc_,65,J65,65,G65,plastic buckets,A roughly cylindrical open container with a handle made of plastic and used to hold and carry liquids
pl_fc_tab_stst_stir_,230,J230,,,plastic stirrers,Stirrers are used when serving hot drinks such as tea and coffee or other drinks such as cocktails.
pl_fc_tab_stst_strw_,231,J231,,,plastic straws,A drinking straw or drinking tube is a small pipe that allows its user to more conveniently consume a drink.
pl_fc_wrp_,,,,,plastic food packets and wrappers,Plastic food packets and wrappers.
pl_fc_wrp_cwls_,,,,,plastic crisps packets/sweets wrappers/lolly & lollypop sticks,Plastic crisps packets/sweets wrappers/lolly & lollypop sticks.
pl_nn_stb_,66,J66,66,G66,plastic strapping bands,Plastic bands and straps used for fastening any type of package. Polypropylene and polyester strapping is the most commonly used plastic strapping on the market. Usually made of quite hard plastic.
pl_nn_cpa_shet_,67,J67,67,G67,"plastic sheets, industrial packaging, sheeting","Large plastic packaging or sheeting used for the protection or covering/wrapping of large cargo objects. Plastic sheeting is used for a variety of industrial and commercial applications. It comes in many sizes, strengths, styles, and colours depending on the application."
pl_fi_,,,,,plastic fisheries related items,Plastic fisheries related items.
pl_nn_fib_,68,J68,68,G68,fibre glass items,"Items made of fibreglass, a common type of fibre-reinforced plastic using glass fibre. Examples of fibreglass items include water pipes, pods, domes, traffic lights, pieces of boats etc."
pl_fi_box_,,,,,plastic fish boxes,Fish boxes for packaging fish or other seafood.
pl_cl_hdw_helm_,69,J69,69,G69,plastic hard hats/helmets,"A hard or padded protective hat, various types of which are worn by construction workers, workers from offshore installations, soldiers, police officers, motorcyclists, sports players, and others."
pl_hu_car_,70,J70,70,G70,plastic shotgun cartridges,"A shotgun cartridge is a self-contained cartridge often loaded with multiple metallic ""shot"", which are small, generally spherical projectiles. The shells consist of a plastic tube mounted on a brass base holding a primer. Also plastic wads from shotgun cartridges can be found on their own."
pl_cl_ftw_,,,71,G71,footwear made of plastic materials,Shoes/sandals/flipflops made of plastic materials.
pl_nn_tfk_,72,J72,72,G72,plastic traffic cones,Plastic cone-shaped objects that are used to separate off or close sections of a road.
pl_nn_fom_,,,73,G73,foamed plastic items and fragments not made of foamed polystyrene,Foamed plastic items and fragments not made of foamed polystyrene.
pl_nn_fom_pain_,74,J74,74,G74,packaging and/or insulation of foamed plastic,"Lightweight cellular foam (mainly foamed PU and PE materials) used especially for insulation (i.e., in walls, roofs, and foundations as thermal insulation and water barrier) or as a packing material."
pl_nn_frg_smal_,,,76,G76,fragments of foamed and non-foamed plastic material 2.5cm  ≥ ≤  50cm,Plastic/foamed polystyrene pieces 2.5 cm  ≥ ≤  50 cm.
pl_nn_frg_larg_,,,77,G77,fragments of foamed and non-foamed plastic material > 50 cm,Plastic/foamed polystyrene pieces > 50 cm.
pl_nn_frg_nofp_smal_,79,J79,79,G79,fragments of non-foamed plastic 2.5cm  ≥ ≤  50cm,Fragments of plastic that are bigger than 2.5 cm and smaller than 50 cm in the longest dimension and originate from unidentifiable plastic non-foamed polystyrene items.
pl_fi_net_strg_drop_,232,J232,,,plastic string and filaments exclusively from dolly ropes ,"Strings and filaments from blue, black or orange string that are used to protect bottom trawling nets against wear and tear. A dolly rope consists of around 30 strings; each string has around 25 threads."
pl_fi_net_strg_fish_,233,J233,,,other plastic string and filaments exclusively from fishery,Other string and filaments exclusively from fishery.
pl_nn_frg_nofp_larg_,80,J80,80,G80,fragments of non-foamed plastic > 50cm,Fragments of plastic that are larger than 50 cm in the longest dimension and originate from unidentifiable plastic non-foamed polystyrene items.
pl_fi_net_tang_mixd_,234,J234,,,plastic tangled nets and rope without dolly rope or mixed with dolly rope,"Tangled pieces of plastic open-meshed material made of twine, cord, or something similar, used typically for catching fish. They may be found tangled with rope or dolly rope."
pl_fi_net_tang_tadr_,235,J235,,,plastic tangled dolly rope,"Tangles of a blue, black or orange rope that are used to protect bottom trawling nets against wear and tear. A dolly rope consists of around 30 strings; each string has around 25 threads. The dolly rope string as well as the separated threads can occur in tangles in the marine environment. Tangles of dolly rope should consist entirely of dolly rope."
pl_nn_frg_fopy_smal_,82,J82,82,G82,fragments of foamed polystyrene 2.5 cm  ≥ ≤  50 cm,Fragments of foamed polystyrene that are bigger than 2.5 cm and smaller than 50 cm in the longest dimension and originate from unidentifiable polystyrene items.
