new order of the list,old oder of the list,new code,TSG_ML General- Code Guidance on Monitoring 2013,level 1 Materials,new code,level 2 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 2
use",new code,level 3 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 3
general type",new code,level 4 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 4
type",new code,level 5 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 5 
specific type",new code,size class code,TSG_ML General- Code Guidance on Monitoring 2013,size classes,new code,2nd size class code,TSG_ML General- Code Guidance on Monitoring 2013,size classes 2nd level,DEFINITION,"level 6 
Single Use Items, Sanitary Items and Fishing Gear according to the EU-Directive
Brackets ( ) mean not yet certain that this litter type is considered under the directive",OSPAR- Code,UNEP- Code,MEDITS,ICES,,code for highest level,
51,47,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,oil_,pl_pa_bc_oil_,,Engine oil bottles & containers,,pl_pa_bc_oil_,,,>50_,pl_pa_bc_oil_>50_,G15,Plastic Engine oil bottles & containers >50 cm,,,,,"Plastic bottles and containers bigger than 50 cm in any dimension, used for packaging motor oil, engine oil, or engine lubricant.",,9,PL03,L1j,A11,,pl_pa_bc_oil_>50_,
52,48,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,foc_,pl_pa_bc_foc_,G10,Food containers,pfoc_,pl_pa_bc_foc_pfoc_,,Food containers made of hard non-foamed plastic ,,,,,,,,,"Plastic containers used for carrying or storing food, such as fast food containers, Tupperware, lunchboxes, etc.  Made of non-foamed plastic",SUP,6,PL06,L1c,A11,,pl_pa_bc_foc_pfoc_,
53,49,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,foc_,pl_pa_bc_foc_,G10,Food containers,ffd_,pl_pa_bc_foc_ffd_,,Food containers made of foamed polystyrene ,,,,,,,,,"Foamed polystyrene containers used for carrying or storing food, such as fast food containers, lunchboxes, etc.",SUP,6,FP02,L1c,A11,,pl_pa_bc_foc_ffd_,
54,52,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,obc_,pl_pa_bc_obc_,G13,Other plastic bottles & containers (drums),,,,,,,,,,,,,Other plastic bottles and containers such as drums (cylindrical containers) generally used for the transportation and storage of liquids and powders.,,12,PL02,L1b,A11,,pl_pa_bc_obc_,
55,43,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,cln_,pl_pa_bc_cln_,G9,Plastic bottles and containers of cleaning products,,,,,,,,,,,,,"Bottles and containers of cleaning products such as detergents, toilet cleaners, glass cleaners, etc.",,5,PL02,L1b,A1,,pl_pa_bc_cln_,
56,51,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,jer_,pl_pa_bc_jer_,G16,Plastic jerry cans ,,,,,,,,,,,,,"Large plastic flat-sided containers with a handle used for storing or transporting liquids, typically petrol or water.",,10,PL03,L1j,A11,,pl_pa_bc_jer_,
57,50,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,inj_,pl_pa_bc_inj_,G17,Plastis injection gun containers/cartridges,,,,,,,,,,,,,"A cartridge made out of plastic for devices that are used to inject grease, silicone, or other fluids.",,11,PL24,L1j,A11,,pl_pa_bc_inj_,
58,53,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,cd_,pl_pa_cd_,G84,CDs & DVDs,,,,,,,,,,,,,,,,,Small plastic discs (and their keep cases) on which sound and data can be stored. ,,48,PL24,L1j,A14,,pl_pa_cd_,
59,54,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,cp_,pl_pa_cp_,G38,Cover packaging,sh_,pl_pa_cp_sh_,G67,"Sheets, industrial packaging, plastic sheeting",,,,,,,,,,,,,"Large plastic packaging or sheeting used for the protection or covering/wrapping of large cargo objects. Plastic sheeting is used for a variety of industrial and commercial applications. It comes in many sizes, strengths, styles, and colours depending on the application.",,40,PL16,L1j,A14,,pl_pa_cp_sh_,
60,57,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,wrp_,pl_pa_wrp_,,Food packets and wrappers,cwl_,pl_pa_wrp_cwl_,,Crisps packets/sweets wrappers/lolly & lollypop sticks,crp_,pl_pa_wrp_cwl_crp_,G30,Plastic Crisps packets/sweets wrappers,,,,,,,,,"Plastic food packets and wrappers created and designed in various colours, materials, shapes, sizes and styles for crisp food products (i.e. potato chips, etc.) or sweets (i.e. chocolates, candy, ice-creams, etc.).",SUP,19,PL24,L1j,A14,,pl_pa_wrp_cwl_crp_,
