,name,lat_lon,Gebiedscode,Rivier,Coordinaten,Lat,Lon,meting
174,Maas43,"(51.7137, 5.0137)",M(145b)R-REFE,Maas,#REF!,51.7137,5.0137,2
175,Maas46,"(51.7414, 5.1613)",M(137a)L-NBNL,Maas,#REF!,51.7414,5.1613,2
176,Maas47,"(51.7569, 5.1365)",M(136b)L-NBNL,Maas,#REF!,51.7569,5.1365,2
177,Maas49,"(51.74, 5.2039)",M(134b)L-REFE,Maas,#REF!,51.74,5.2039,2
178,Maas49,"(51.74, 5.2039)",M(134a)L-NBNL,Maas,#REF!,51.74,5.2039,2
179,Maas51,"(51.7331, 5.2535)",M(130a)L-NBNL,Maas,#REF!,51.7331,5.2535,2
180,Maas55,"(51.74, 5.3101)",M(123a)L-NBNL,Maas,#REF!,51.74,5.3101,2
182,Maas125,"(51.7553, 5.3558)",M(117a)L-NBNL,Maas,#REF!,51.7553,5.3558,2
183,Maas57,"(51.7606, 5.3618)",M(116a)L-NBNL,Maas,#REF!,51.7606,5.3618,2
184,Maas58,"(51.7845, 5.3664)",M(114a)L-NBNL,Maas,#REF!,51.7845,5.3664,2
185,Maas59,"(51.8091, 5.4013)",M(111a)L-NBNL,Maas,#REF!,51.8091,5.4013,2
186,Maas60,"(51.8159, 5.4104)",M(110a)L-NBNL,Maas,#REF!,51.8159,5.4104,2
187,Maas126,"(51.8196, 5.4157)",M(109a)L-NBNL,Maas,#REF!,51.8196,5.4157,2
188,Maas62,"(51.8155, 5.5385)",M(105a)L-NBNL,Maas,#REF!,51.8155,5.5385,2
189,Maas63,"(51.7928, 5.6654)",M(100a)L-NBNL,Maas,#REF!,51.7928,5.6654,2
190,Maas65,"(51.7763, 5.71)",M(097a)R-GENL,Maas,#REF!,51.7763,5.71,2
191,Maas67,"(51.7527, 5.8735)",M(087a)L-NBNL,Maas,#REF!,51.7527,5.8735,2
192,Maas68,"(51.7468, 5.8816)",M(086a)R-LINL,Maas,#REF!,51.7468,5.8816,2
193,Maas69,"(51.7461, 5.8791)",M(085a)L-LINL,Maas,#REF!,51.7461,5.8791,2
194,Maas72,"(51.7172, 5.9347)",M(080a)R-LINL,Maas,#REF!,51.7172,5.9347,2
195,Maas74,"(51.6983, 5.9581)",M(077a)R-NBNL,Maas,#REF!,51.6983,5.9581,2
196,Maas75,"(51.6582, 5.9646)",M(075a)R-LINL,Maas,#REF!,51.6582,5.9646,2
197,Maas76,"(51.648, 5.971)",M(074a)R-LINL,Maas,#REF!,51.648,5.971,2
198,Maas77,"(51.6475, 5.9679)",M(073a)L-NBNL,Maas,#REF!,51.6475,5.9679,2
199,Maas78,"(51.6325, 6.0006)",M(072b)L-NBNL,Maas,#REF!,51.6325,6.0006,2
200,Maas79,"(51.6296, 6.0096)",M(071a)R-LINL,Maas,#REF!,51.6296,6.0096,2
201,Maas83,"(51.4862, 6.1658)",M(063a)R-LINL,Maas,#REF!,51.4862,6.1658,2
202,Maas84,"(51.4867, 6.169)",M(062a)L-LINL,Maas,#REF!,51.4867,6.169,2
203,Maas87,"(51.4251, 6.1561)",M(059a)L-LINL,Maas,#REF!,51.4251,6.1561,2
204,Maas89,"(51.3066, 6.1015)",M(054a)R-LINL,Maas,#REF!,51.3066,6.1015,2
205,Maas90,"(51.2873, 6.0521)",M(052a)R-LINL,Maas,#REF!,51.2873,6.0521,2
206,Maas93,"(51.2146, 5.9837)",M(045a)R-LINL,Maas,#REF!,51.2146,5.9837,2
207,Maas94,"(51.1875, 5.9714)",M(044a)R-LINL,Maas,#REF!,51.1875,5.9714,2
208,Maas95,"(51.1938, 5.9777)",M(043a)R-LINL,Maas,#REF!,51.1938,5.9777,2
209,Maas97,"(51.188, 5.9321)",M(041a)L-LINL,Maas,#REF!,51.188,5.9321,2
210,Maas99,"(51.1625, 5.9363)",M(038a)R-LINL,Maas,#REF!,51.1625,5.9363,2
211,Maas100,"(51.1469, 5.8794)",M(037a)R-LINL,Maas,#REF!,51.1469,5.8794,2
212,Maas102,"(51.1085, 5.8209)",M(034a)R-LINL,Maas,#REF!,51.1085,5.8209,2
213,Maas103,"(51.0848, 5.8018)",M(033a)R-LINL,Maas,#REF!,51.0848,5.8018,2
214,Maas127,"(51.0574, 5.7687)",M(029a)L-LIBE,Maas,#REF!,51.0574,5.7687,2
215,Maas106,"(51.0303, 5.7589)",M(027a)L-LIBE,Maas,#REF!,51.0303,5.7589,2
216,Maas111,"(50.9805, 5.7398)",M(020a)L-LIBE,Maas,#REF!,50.9805,5.7398,2
217,Maas113,"(50.9501, 5.7581)",M(015a)R-LINL,Maas,#REF!,50.9501,5.7581,2
218,Maas114,"(50.9105, 5.7217)",M(012a)L-LIBE,Maas,#REF!,50.9105,5.7217,2
219,Maas115,"(50.9075, 5.7197)",M(011a)R-LINL,Maas,#REF!,50.9075,5.7197,2
220,Maas116,"(50.9097, 5.7143)",M(010a)L-LIBE,Maas,#REF!,50.9097,5.7143,2
221,Maas15,"(50.8724, 5.689)",M(006b)R-REFE,Maas,#REF!,50.8724,5.689,2
222,Waal128,"(51.7463, 4.7141)",W(093a)R-ZHNL,Waal,#REF!,51.7463,4.7141,3
223,Waal18,"(51.7433, 4.7243)",W(092a)L-NBNL,Waal,#REF!,51.7433,4.7243,3
224,Waal129,"(51.8014, 4.8634)",W(087a)L-NBNL,Waal,#REF!,51.8014,4.8634,3
225,Waal130,"(51.8172, 4.8936)",W(086a)L-NBNL,Waal,#REF!,51.8172,4.8936,3
226,Waal120,"(51.8208, 4.9052)",W(085a)L-NBNL,Waal,#REF!,51.8208,4.9052,3
227,Waal131,"(51.8254, 4.9902)",W(083a)R-ZHNL,Waal,#REF!,51.8254,4.9902,3
228,Waal1,"(51.8227, 5.0159)",W(078a)R-ZHNL,Waal,#REF!,51.8227,5.0159,3
229,Waal24,"(51.8193, 5.0376)",W(077a)R-GENL,Waal,#REF!,51.8193,5.0376,3
230,Waal25,"(51.8268, 5.0691)",W(075a)R-GENL,Waal,#REF!,51.8268,5.0691,3
231,Waal2,"(51.829, 5.0805)",W(074a)R-GENL,Waal,#REF!,51.829,5.0805,3
232,Waal132,"(51.8145, 5.1924)",W(066a)R-GENL,Waal,#REF!,51.8145,5.1924,3
233,Waal133,"(51.8119, 5.2089)",W(064a)R-GENL,Waal,#REF!,51.8119,5.2089,3
234,Waal26,"(51.8079, 5.2146)",W(063a)L-GENL,Waal,#REF!,51.8079,5.2146,3
235,Waal27,"(51.8152, 5.2488)",W(060a)L-GENL,Waal,#REF!,51.8152,5.2488,3
236,Waal28,"(51.8181, 5.2796)",W(059a)L-GENL,Waal,#REF!,51.8181,5.2796,3
237,Waal134,"(51.8228, 5.3209)",W(056a)R-GENL,Waal,#REF!,51.8228,5.3209,3
238,Waal135,"(51.8079, 5.3613)",W(052a)R-GENL,Waal,#REF!,51.8079,5.3613,3
239,Waal30,"(51.8313, 5.3947)",W(050a)L-GENL,Waal,#REF!,51.8313,5.3947,3
240,Waal136,"(51.838, 5.3963)",W(049a)R-GENL,Waal,#REF!,51.838,5.3963,3
241,Waal4,"(51.8475, 5.4159)",W(048a)L-GENL,Waal,#REF!,51.8475,5.4159,3
242,Waal122,"(51.8528, 5.4114)",W(047a)R-GENL,Waal,#REF!,51.8528,5.4114,3
243,Waal32,"(51.8827, 5.4476)",W(044a)L-GENL,Waal,#REF!,51.8827,5.4476,3
244,Waal137,"(51.8894, 5.4544)",W(043a)R-GENL,Waal,#REF!,51.8894,5.4544,3
245,Waal6,"(51.8872, 5.4663)",W(042a)L-GENL,Waal,#REF!,51.8872,5.4663,3
247,Waal8,"(51.8923, 5.5114)",W(038b)R-GENL,Waal,#REF!,51.8923,5.5114,3
248,Waal9,"(51.8897, 5.5208)",W(038a)L-GENL,Waal,#REF!,51.8897,5.5208,3
249,Waal33,"(51.8976, 5.5901)",W(036a)L-GENL,Waal,#REF!,51.8976,5.5901,3
250,Waal34,"(51.9014, 5.5961)",W(035a)R-GENL,Waal,#REF!,51.9014,5.5961,3
251,Waal138,"(51.9014, 5.62)",W(033a)R-GENL,Waal,#REF!,51.9014,5.62,3
252,Waal139,"(51.8975, 5.6825)",W(030a)R-GENL,Waal,#REF!,51.8975,5.6825,3
253,Waal140,"(51.8862, 5.7217)",W(028a)L-GENL,Waal,#REF!,51.8862,5.7217,3
254,Waal141,"(51.8895, 5.7242)",W(027a)R-GENL,Waal,#REF!,51.8895,5.7242,3
255,Waal142,"(51.8834, 5.7356)",W(026a)L-GENL,Waal,#REF!,51.8834,5.7356,3
256,Waal35,"(51.8872, 5.7376)",W(025a)R-GENL,Waal,#REF!,51.8872,5.7376,3
257,Waal37,"(51.8756, 5.7855)",W(023a)L-GENL,Waal,#REF!,51.8756,5.7855,3
258,Waal11,"(51.8778, 5.7978)",W(022a)R-GENL,Waal,#REF!,51.8778,5.7978,3
259,Waal38,"(51.8714, 5.8192)",W(021a)R-GENL,Waal,#REF!,51.8714,5.8192,3
260,Waal143,"(51.8555, 5.8514)",W(019a)R-GENL,Waal,#REF!,51.8555,5.8514,3
261,Waal39,"(51.8604, 5.8856)",W(017a)L-GENL,Waal,#REF!,51.8604,5.8856,3
