,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
131,G4,Plastic,"Small plastic bags; freezer, zip-lock etc.",Packaging,Food and drink,Medical,Parent code,True,True,False,3
132,G40,Plastic,Gloves household/gardening,Clothing,Where does it come from,none,Parent code,True,False,False,25
133,G41,Plastic,Glove industrial/professional,Clothing,Where does it come from,none,Parent code,True,False,False,113
134,G42,Plastic,Crab lobster pots,Fishing,Where does it come from,,Parent code,True,False,False,
135,G43,Plastic,"Tags fishing or industry (security tags, seals)",Utility items,Where does it come from,none,Parent code,False,False,False,114
136,G44,Plastic,Octopus pots,Fishing,Where does it come from,,Parent code,True,False,False,
137,G45,Plastic,Mussel nets,Aquaculture,Where does it come from,,Parent code,True,False,False,
138,G46,Plastic,Oyster trays,Aquaculture,Where does it come from,,Parent code,True,False,False,
139,G47,Plastic,Sheeting from mussel culture,Aquaculture,Where does it come from,,Parent code,True,False,False,
140,G48,Plastic,"Rope, synthetic",Utility items,Boating,Construction,Parent code,False,False,False,none
141,G49,Plastic,Rope > 1cm,Utility items,Where does it come from,,Parent code,True,False,False,
142,G5,Plastic,Generic plastic bags,Packaging,Where does it come from,,Parent code,True,False,False,
143,G50,Plastic,String < 1cm,Utility items,Where does it come from,,Parent code,True,False,False,
144,G51,Plastic,Fishing net,Fishing,Where does it come from,,Parent code,True,False,False,
145,G52,Plastic,Nets and pieces,Fishing,Where does it come from,,Parent code,True,False,False,
146,G53,Plastic,Nets and pieces < 50cm,Fishing,Where does it come from,,Parent code,True,False,False,
147,G54,Plastic,Nets and pieces > 50cm,Fishing,Where does it come from,,Parent code,True,False,False,
148,G55,Plastic,Fishing line (entangled),Fishing,Where does it come from,,Parent code,True,False,False,
149,G56,Plastic,Tangled nets,Fishing,Where does it come from,,Parent code,True,False,False,
150,G57,Plastic,Fish boxes,Fishing,Where does it come from,,Parent code,True,False,False,
151,G58,Plastic,Foam fish box,Fishing,Where does it come from,,Parent code,True,False,False,
152,G59,Plastic,Fishing line monofilament (angling),Fishing,Where does it come from,,Parent code,True,False,False,
153,G6,Plastic,"Bottles and containers, plastic non food/drink",Packaging,Where does it come from,Direct,Parent code,True,True,False,11
154,G60,Plastic,Light sticks,Fishing,Where does it come from,,Parent code,True,False,False,
155,G61,Plastic,Other fishing related,Fishing,Where does it come from,,Parent code,True,False,False,
156,G62,Plastic,Floats for nets,Fishing,Where does it come from,,Parent code,True,False,False,
157,G63,Plastic,Buoys,Undefined,Where does it come from,,Parent code,True,False,False,
158,G64,Plastic,Fenders,Vehicle,Where does it come from,,Parent code,True,False,False,
159,G65,Plastic,Buckets,Utility items,Where does it come from,,Parent code,True,False,False,
160,G66,Plastic,"Straps/bands;  hard, plastic package fastener",Packaging,Where does it come from,none,Parent code,True,False,False,39
161,G67,Plastic,Industrial sheeting,Utility items,Industry,none,Parent code,False,False,False,40
162,G68,Plastic,Fiberglass fragments,Fishing,Where does it come from,,Parent code,True,False,False,
163,G69,Plastic,Helmets or hardhats,Clothing,Where does it come from,,Parent code,True,False,False,
164,G7,Plastic,Drink bottles < = 0.5L,Packaging,Food and drink,Where does it come from,Parent code,True,True,False,4
