location,latitude,longitude,city,country,water_name,water,lat_lon,slug,Gebiedscode
Maas172,51.7154,5.9338,unk,NL,Maas,r,"(51.7154, 5.9338)",maas172,M(081a)L-NBNL
Maas173,51.6969,5.956,unk,NL,Maas,r,"(51.6969, 5.956)",maas173,M(078a)L-LINL
Maas76,51.648,5.971,unk,NL,Maas,r,"(51.648, 5.971)",maas76,M(074b)R-REFE
Maas174,51.6329,6.0045,unk,NL,Maas,r,"(51.6329, 6.0045)",maas174,M(072a)R-LINL
Maas175,51.595242999999996,6.02891,unk,NL,Maas,r,"(51.595242999999996, 6.02891)",maas175,M(070a)R-LINL
Maas176,51.5956,6.0249,unk,NL,Maas,r,"(51.5956, 6.0249)",maas176,M(069a)L-NBNL
Maas177,51.5277,6.1298,unk,NL,Maas,r,"(51.5277, 6.1298)",maas177,M(065a)R-LINL
Maas178,51.3424,6.1192,unk,NL,Maas,r,"(51.3424, 6.1192)",maas178,M(056a)L-LINL
Maas179,51.3015,6.0907,unk,NL,Maas,r,"(51.3015, 6.0907)",maas179,M(053a)L-LINL
Maas180,51.229,5.9911,unk,NL,Maas,r,"(51.229, 5.9911)",maas180,M(047a)L-LINL
Maas181,51.2246,5.9872,unk,NL,Maas,r,"(51.2246, 5.9872)",maas181,M(046a)R-LINL
Maas182,51.1775,5.9278,unk,NL,Maas,r,"(51.1775, 5.9278)",maas182,M(040a)L-LNL
Maas183,51.1087,5.8104,unk,NL,Maas,r,"(51.1087, 5.8104)",maas183,M(035a)L-LIBE
Maas184,51.062,5.7721,unk,NL,Maas,r,"(51.062, 5.7721)",maas184,M(030a)L-LIBE
Maas185,51.022026000000004,5.777177,unk,NL,Maas,r,"(51.022026000000004, 5.777177)",maas185,M(024b)R-LINL
Maas186,50.9923,5.7602,unk,NL,Maas,r,"(50.9923, 5.7602)",maas186,M(022a)R-LINL
Maas187,50.9726,5.735,unk,NL,Maas,r,"(50.9726, 5.735)",maas187,M(019a)R-LINL
Maas188,50.9556,5.7365,unk,NL,Maas,r,"(50.9556, 5.7365)",maas188,M(018a)L-LIBE
Maas189,50.9509,5.7568,unk,NL,Maas,r,"(50.9509, 5.7568)",maas189,M(016a)L-LIBE
Maas190,50.8893,5.6875,unk,NL,Maas,r,"(50.8893, 5.6875)",maas190,M(008a)R-LINL
Maas191,50.781000000000006,5.6974,unk,NL,Maas,r,"(50.781000000000006, 5.6974)",maas191,M(002a)L-LIBE
Maas192,50.7554,5.6817,unk,NL,Maas,r,"(50.7554, 5.6817)",maas192,M(001a)L-LIBE
