slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_name_slug,is_2020
quai-maria-belgia,Quai Maria Belgia,46.460156,6.836717999999999,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,True
rastplatz-stampf,Rastplatz Stampf,47.215177000000004,8.844286,Jona city,8645,CH,l,Zurichsee,jona-city,zurichsee,True
reuss,Reuss,47.329869099999996,8.3568493,Bremgarten,5626,CH,r,Reuss,bremgarten,reuss,False
reuss_hunenberg_eberhardy,reuss_hünenberg_eberhardy,47.2329755,8.401012099999999,Hünenberg,6331,CH,r,Reuss,hunenberg,reuss,True
reuss_ottenbach_schoenenbergerl,reuss_ottenbach_schoenenbergerl,47.2783545,8.3942242,Merenschwand,5634,CH,r,Reuss,merenschwand,reuss,True
reuss_stkarli_linigersimhofy,Reuss_St.Karli_LinigerS/ImhofY,47.057111799999994,8.287914500000001,Luzern,6004,CH,r,Reuss,luzern,reuss,False
rhein-beach-tinguely,Rhein Beach Tinguely,47.5586439,7.612153599999999,Basel,4058,CH,r,Rhein,basel,rhein,False
rhein_basel,Rhein_Basel,47.556801799999995,7.6010856,Basel,4058,CH,r,Rhein,basel,rhein,False
rhein_basel_blarerp_1,Rhein_Basel_BlarerP_1,47.589406200000006,7.5873181,Huningue,68330,CH,r,Rhein,huningue,rhein,False
rhein_basel_blarerp_2,Rhein_Basel_BlarerP_2,47.591151,7.5879485,Huningue,68330,CH,r,Rhein,huningue,rhein,False
rhein_basel_hungerbuehlern,Rhein_Basel_HungerbuehlerN,47.558217600000006,7.6103488,Basel,4058,CH,r,Rhein,basel,rhein,False
rhein_domatems_foppa_f,rhein_domatems_foppa_f,46.8380375,9.447638699999999,Domat Ems,7013,CH,r,Rhein,domat-ems,rhein,False
rhein_eglisau_gomringerp,rhein_eglisau_gomringerp,47.5733159,8.5345847,Eglisau,8193,CH,r,Rhein,eglisau,rhein,False
rhein_hemishofen_stolll,Rhein_Hemishofen_StollL,47.675523600000005,8.828029199999998,Hemishofen,8261,CH,r,Rhein,hemishofen,rhein,False
rhein_laag_jungbluthn,rhein_laag_jungbluthn,47.691525399999996,8.7172104,Büsingen a Hochrhein,78266,CH,r,Rhein,busingen-a-hochrhein,rhein,False
rivapiana,Rivapiana,46.172079,8.813255,Minusio,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True
rocky-plage,Rocky plage,46.20973675,6.16495237,Genève,1208,CH,l,Lac Léman,geneve,lac-leman,True
rolle-plage,Rolle-plage,46.4613,6.349739,Rolle,1180,CH,l,Lac Léman,rolle,lac-leman,False
route-13,Route 13,46.162521000000005,8.7825791,Locarno,6600,CH,r,Maggia,locarno,maggia,True
ruisseau-de-la-croix-plage,Ruisseau de la croix plage,46.81392,6.7747,Cheyres,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True
saint-sulpice,Saint Sulpice,46.507808000000004,6.545344,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False
san-nazzaro-gambarogno,san nazzaro-gambarogno,46.130443,8.798657,Gambarogno,6575,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True
schiffenensee_duedingen_hirschij,schiffenensee_duedingen_hirschij,46.859151399999995,7.176437400000001,Düdingen,3186,CH,l,Schiffenensee,dudingen,schiffenensee,False
schmerikon-bahnhof-strand,Schmerikon Bahnhof Strand,47.224779999999996,8.944180000000001,Schmerikon,Postal-code,CH,l,Zurichsee,schmerikon,zurichsee,True
schusspark-strand,Schüsspark strand,47.1465,7.268619999999999,biel,2504,CH,r,Schüss,biel,schuss,True
seeflechsen,seeflechsen,47.1302229,9.1033996,Glarus Nord,8872,CH,l,Walensee,glarus-nord,walensee,True
seemuhlestrasse-strand,Seemühlestrasse Strand,47.128640000000004,9.2951,Walenstadt,8880,CH,l,Walensee,walenstadt,walensee,True
seez,Seez,47.11983,9.300251,Walenstadt,8880,CH,r,Seez,walenstadt,seez,True
seez_spennwiesenbrucke,Seez_Spennwiesenbrücke,47.114948,9.310122999999999,Walenstadt,8880,CH,r,Seez,walenstadt,seez,True
